 * Running on http://0.0.0.0:51945/ (Press CTRL+C to quit)
64.229.97.140 - - [14/Feb/2018 12:58:22] "GET /static/js/bootstrap.min.js HTTP/1.1" 304 -
64.229.97.140 - - [14/Feb/2018 12:58:22] "GET /static/js/jquery-1.11.0.min.js HTTP/1.1" 304 -
64.229.97.140 - - [14/Feb/2018 12:58:24] "GET / HTTP/1.1" 200 -
64.229.97.140 - - [14/Feb/2018 12:58:24] "GET /static/css/bootstrap.min.css HTTP/1.1" 304 -
64.229.97.140 - - [14/Feb/2018 12:58:24] "GET /static/css/syntax-highlight.css HTTP/1.1" 304 -
64.229.97.140 - - [14/Feb/2018 12:58:24] "GET /static/css/sqlbrowse.css HTTP/1.1" 304 -
64.229.97.140 - - [14/Feb/2018 12:58:24] "GET /static/js/bootstrap.min.js HTTP/1.1" 304 -
64.229.97.140 - - [14/Feb/2018 12:58:24] "GET /static/js/jquery-1.11.0.min.js HTTP/1.1" 304 -
64.229.97.140 - - [14/Feb/2018 13:01:10] "GET /1ST_USDT_okex/ HTTP/1.1" 200 -
64.229.97.140 - - [14/Feb/2018 13:01:10] "GET /static/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 -
64.229.97.140 - - [14/Feb/2018 13:01:21] "GET /ETC_USD_okex/ HTTP/1.1" 200 -
64.229.97.140 - - [14/Feb/2018 13:01:21] "GET /static/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 -
64.229.97.140 - - [14/Feb/2018 13:01:23] "GET /ETC_USD_okex/content/ HTTP/1.1" 200 -
64.229.97.140 - - [14/Feb/2018 13:01:27] "GET /ETC_USD_okex/content/?page=2 HTTP/1.1" 200 -
64.229.97.140 - - [14/Feb/2018 13:01:31] "GET /ETC_USD_okex/content/?page=3 HTTP/1.1" 200 -
64.229.97.140 - - [14/Feb/2018 13:04:36] "GET / HTTP/1.1" 200 -
64.229.97.140 - - [15/Feb/2018 01:16:46] "GET / HTTP/1.1" 200 -
64.229.97.140 - - [15/Feb/2018 01:16:46] "GET /static/css/bootstrap.min.css HTTP/1.1" 200 -
64.229.97.140 - - [15/Feb/2018 01:16:46] "GET /static/css/syntax-highlight.css HTTP/1.1" 200 -
64.229.97.140 - - [15/Feb/2018 01:16:46] "GET /static/css/sqlbrowse.css HTTP/1.1" 200 -
64.229.97.140 - - [15/Feb/2018 01:16:46] "GET /static/js/bootstrap.min.js HTTP/1.1" 200 -
64.229.97.140 - - [15/Feb/2018 01:16:46] "GET /static/js/jquery-1.11.0.min.js HTTP/1.1" 200 -
64.229.97.140 - - [15/Feb/2018 01:16:53] "GET / HTTP/1.1" 200 -
64.229.97.140 - - [15/Feb/2018 01:16:53] "GET /static/css/sqlbrowse.css HTTP/1.1" 304 -
64.229.97.140 - - [15/Feb/2018 01:16:53] "GET /static/css/syntax-highlight.css HTTP/1.1" 304 -
64.229.97.140 - - [15/Feb/2018 01:16:53] "GET /static/css/bootstrap.min.css HTTP/1.1" 304 -
64.229.97.140 - - [15/Feb/2018 01:16:53] "GET /static/js/jquery-1.11.0.min.js HTTP/1.1" 304 -
64.229.97.140 - - [15/Feb/2018 01:16:53] "GET /static/js/bootstrap.min.js HTTP/1.1" 304 -
64.229.97.140 - - [15/Feb/2018 01:16:55] "GET /1ST_BTC_okex/ HTTP/1.1" 200 -
64.229.97.140 - - [15/Feb/2018 01:16:55] "GET /static/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 -
